露營場名稱,縣市別,縣市代碼,鄉/鎮/市/區,營業狀態,經度,緯度,地址,電話,手機,網站,符合相關法規露營場／違反相關法規露營場,違反相關法規,是否有在原民區,露營場設置時間
大秦會館,宜蘭縣,10002,三星鄉,營業中,121.7138058,24.6775763,大埔六路236號,,0926728280,,違反相關法規露營場,區域計畫法,否,
牛鬥一角民宿野營渡假村,宜蘭縣,10002,三星鄉,營業中,121.5690785,24.63590614,宜蘭縣三星鄉泰雅一路 525巷牛頭203號,,,,違反相關法規露營場,違反農業發展條例,否,
稻庄休閒農場,宜蘭縣,10002,三星鄉,營業中,121.6280508,24.66936092,宜蘭縣三星鄉福和路71巷16號,039892809,,https://www.facebook.com/daozhuangfarm/?locale=zh_TW,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
山谷星空,宜蘭縣,10002,三星鄉,營業中,121.5837013,24.635325,宜蘭縣三星鄉泰雅一路301巷71號,,0932164669,,違反相關法規露營場,違反農業發展條例,否,
馬丁迷露,宜蘭縣,10002,三星鄉,營業中,121.7286618,24.69431358,大洲路87巷36號,,0921099666,,違反相關法規露營場,區域計畫法,否,
安農露營區,宜蘭縣,10002,三星鄉,營業中,121.6474668,24.65544333,宜蘭市神農路1段130號,0277565296,0968488951,,違反相關法規露營場,待清查,否,
三星秘露營區,宜蘭縣,10002,三星鄉,營業中,121.6859429,24.67102717,26648宜蘭縣三星鄉安農北路五段32號,,,,違反相關法規露營場,區域計畫法,否,
天際線茶園營地,宜蘭縣,10002,大同鄉,營業中,121.601629,24.67665,泰雅路一段88巷88號,,0932359832,,違反相關法規露營場,違反農業發展條例,是,
周家口露營區,宜蘭縣,10002,大同鄉,營業中,121.6908189,24.60945403,宜蘭縣大同鄉寒溪巷70-27號,,0925367111,,違反相關法規露營場,違反農業發展條例,是,
景好露營場,宜蘭縣,10002,大同鄉,營業中,121.6126976,24.69179779,宜蘭縣宜蘭市泰山路112巷5弄25號,,0916159727,,違反相關法規露營場,區域計畫法,是,
溪河木,宜蘭縣,10002,大同鄉,營業中,121.57666,24.656605,宜蘭縣大同鄉松羅村松羅南巷115-7號,,0910356735,,違反相關法規露營場,違反農業發展條例,是,
星霧樹露營場,宜蘭縣,10002,大同鄉,營業中,,,大同鄉泰雅一路牛鬥81之7號,0970274619,0911293702,,違反相關法規露營場,區域計畫法,是,
Uwah露營區,宜蘭縣,10002,大同鄉,營業中,121.685002,24.623456,華興巷42-18號,,0953517925,,違反相關法規露營場,區域計畫法,是,
星亮點Kayu露營區,宜蘭縣,10002,大同鄉,營業中,121.601031,24.678558,宜蘭縣大同鄉崙埤村泰雅路一段88巷99號,,0925290965,,違反相關法規露營場,區域計畫法,是,
武林秘密基地,宜蘭縣,10002,大同鄉,營業中,121.685608,24.62145527,宜蘭縣五結鄉三吉二路80巷13弄16號,,0983005759,,違反相關法規露營場,違反農業發展條例,是,
斯揚莫那休閒露營區,宜蘭縣,10002,大同鄉,營業中,121.4385216,24.51306149,宜蘭縣礁溪鄉漳福路192之10號,,0910549801,,違反相關法規露營場,區域計畫法,是,
玉蘭茶園,宜蘭縣,10002,大同鄉,營業中,121.5850311,24.67457854,宜蘭縣大同鄉松羅村玉蘭路80號,,0919283988,,違反相關法規露營場,違反農業發展條例,是,
淺山休閒露營區,宜蘭縣,10002,大同鄉,營業中,121.686915,24.60362664,宜蘭縣羅東鎮純精路2段248巷8號,,0926635282,,違反相關法規露營場,區域計畫法,是,
水之定莊園,宜蘭縣,10002,大同鄉,營業中,121.610145,24.700327,宜蘭縣大同鄉中華村長嶺路187號,0952121777,,,違反相關法規露營場,違反農業發展條例,是,
露山林套房露營區,宜蘭縣,10002,大同鄉,營業中,121.686319,24.594803,宜蘭縣大同鄉寒溪村古魯巷1-8號,,0910748875,,違反相關法規露營場,區域計畫法,是,
摩西露營區,宜蘭縣,10002,大同鄉,營業中,121.5180952,24.60851859,宜蘭縣大同鄉英士村林森24-50號,,,,違反相關法規露營場,區域計畫法,是,
